section,division,group,class,subclass,text_of,text
C,10,107,1072,10722,subclass,Manufacture of `gur’ from sugarcane
C,10,107,1072,10723,subclass,Manufacture of `gur’ from other than sugarcane
C,10,107,1072,10724,subclass,Manufacture of `khandsari’ sugar from sugarcane
C,10,107,1072,10725,subclass,Manufacture of `khandsari’ suger from other than sugarcane
C,10,107,1072,10726,subclass,Manufacture of `boora’ and candy from sugarcane
C,10,107,1072,10727,subclass,Manufacture of `boora’ and candy from other than sugarcane
C,10,107,1072,10728,subclass,Manufacture of molasses
C,10,107,1072,10729,subclass,"Manufacture of sugar from other sources (juice of palm, suger beet etc.)"
C,10,107,1073,,class,"Manufacture of cocoa, chocolate and sugar confectionery"
C,10,107,1073,10731,subclass,Manufacture of cocoa products
C,10,107,1073,10732,subclass,Manufacture of chocolate and chocolate confectionery
C,10,107,1073,10733,subclass,Manufacture of sugar confectionery (except sweetmeats)
C,10,107,1073,10734,subclass,Manufacture sweetmeats includind dairy based sweetmeats
C,10,107,1073,10735,subclass,Manufacture of chewing gum
C,10,107,1073,10736,subclass,"Preserving in sugar of fruit, nuts, fruit peels and other parts of plants"
C,10,107,1073,10739,subclass,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
C,10,107,1074,,class,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
C,10,107,1074,10740,subclass,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
C,10,107,1075,,class,Manufacture of prepared meals and dishes
C,10,107,1075,10750,subclass,Manufacture of prepared meals and dishes
C,10,107,1079,,class,Manufacture of other food products n.e.c.
C,10,107,1079,10791,subclass,Processing and blending of tea including manufacture of instant tea
C,10,107,1079,10792,subclass,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products"
C,10,107,1079,10793,subclass,Processing of edible nuts
C,10,107,1079,10794,subclass,Manufacture of malted foods including foods for infants and handicapped
C,10,107,1079,10795,subclass,Grinding and processing of spices
C,10,107,1079,10796,subclass,"Manufacture of papads, appalam and similar food products"
C,10,107,1079,10797,subclass,"Manufacture of vitaminised high protein flour, frying of dal and other cereals"
C,10,107,1079,10798,subclass,"Processing of salt into food-grade salt, e.g. iodized salt"
C,10,107,1079,10799,subclass,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
C,10,108,,,group,Manufacture of prepared animal feeds
C,10,108,1080,,class,Manufacture of prepared animal feeds
C,10,108,1080,10801,subclass,Manufacture of cattle feed
C,10,108,1080,10802,subclass,Manufacture of poultry feed
C,11,,,,division,Manufacture of beverages
C,11,110,,,group,Manufacture of beverages
C,11,110,1101,,class,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials"
C,11,110,1101,11011,subclass,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, “mixed drinks” etc."
C,11,110,1101,11012,subclass,Manufacture of country liquor
C,11,110,1101,11019,subclass,"Distilling, rectifying and blending of spirits"
C,11,110,1102,,class,Manufacture of wines
C,11,110,1102,11020,subclass,Manufacture of wines
C,11,110,1103,,class,Manufacture of malt liquors and malt
C,11,110,1103,11031,subclass,Manufacture of beer
C,11,110,1103,11032,subclass,Manufacture of malt liquors other than beer
C,11,110,1103,11033,subclass,Manufacture of malt
C,11,110,1103,11039,subclass,Manufacture of malt liquors and malt n.e.c.
C,11,110,1104,,class,Manufacture of soft drinks; production of mineral waters and other bottled waters
C,11,110,1104,11041,subclass,Manufacture of aerated drinks
C,11,110,1104,11042,subclass,Manufacture of synthetic flavoured concentrates and syrups
C,11,110,1104,11043,subclass,Manufacture of mineral water
